@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute bow_accel numeric
@attribute bow_accel2 {0,1,2,3,4,5}
@attribute volume numeric
@attribute volume2 {0,1,2,3,4,5}
@attribute notes numeric
@attribute notes2 {0,1,2,3,4,5}

@data
2032,'2024/04/24 13:40:46:784',3,-17,-8,-9,-0.81,-0.38,-0.43,-70,74,10465.136719,?,?,?,?,?,?
2033,'2024/04/24 13:40:46:799',3,-17,-8,-9,-0.81,-0.38,-0.43,-60,74,10465.136719,?,?,?,?,?,?
2034,'2024/04/24 13:40:46:806',3,-17,-8,-9,-0.81,-0.38,-0.43,-60,74,10465.136719,?,?,?,?,?,?
2035,'2024/04/24 13:40:46:808',3,-17,-8,-9,-0.81,-0.38,-0.43,-60,74,10465.136719,?,?,?,?,?,?
2036,'2024/04/24 13:40:46:819',3,-17,-8,-9,-0.81,-0.38,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2037,'2024/04/24 13:40:46:829',3,-17,-8,-9,-0.81,-0.38,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2038,'2024/04/24 13:40:46:831',3,-17,-8,-9,-0.81,-0.38,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2039,'2024/04/24 13:40:46:839',3,-17,-8,-9,-0.81,-0.38,-0.43,-79,74,10465.136719,?,?,?,?,?,?
2040,'2024/04/24 13:40:46:852',3,-17,-8,-9,-0.81,-0.38,-0.43,-79,74,10465.136719,?,?,?,?,?,?
2041,'2024/04/24 13:40:46:854',3,-17,-8,-9,-0.81,-0.38,-0.43,-79,74,10465.136719,?,?,?,?,?,?
2042,'2024/04/24 13:40:46:859',3,-17,-8,-9,-0.81,-0.38,-0.43,-62,74,10465.136719,?,?,?,?,?,?
2043,'2024/04/24 13:40:46:875',3,-17,-8,-9,-0.81,-0.38,-0.43,-62,74,10465.136719,?,?,?,?,?,?
2044,'2024/04/24 13:40:46:878',3,-17,-8,-9,-0.81,-0.38,-0.43,-62,74,10465.136719,?,?,?,?,?,?
2045,'2024/04/24 13:40:46:898',3,-17,-8,-9,-0.81,-0.38,-0.43,-62,74,10465.136719,?,?,?,?,?,?
2046,'2024/04/24 13:40:46:899',3,-17,-8,-9,-0.81,-0.38,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2047,'2024/04/24 13:40:46:901',3,-17,-8,-9,-0.81,-0.38,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2048,'2024/04/24 13:40:46:913',3,-16,-8,-9,-0.81,-0.38,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2049,'2024/04/24 13:40:46:913',3,-16,-10,-9,-0.81,-0.38,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2050,'2024/04/24 13:40:46:913',3,-16,-10,-9,-0.81,-0.38,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2051,'2024/04/24 13:40:46:913',3,-16,-10,-9,-0.76,-0.38,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2052,'2024/04/24 13:40:46:913',3,-16,-10,-9,-0.76,-0.48,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2053,'2024/04/24 13:40:46:913',3,-16,-10,-9,-0.76,-0.48,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2054,'2024/04/24 13:40:46:919',3,-16,-10,-9,-0.76,-0.48,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2055,'2024/04/24 13:40:46:922',3,-16,-10,-9,-0.76,-0.48,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2056,'2024/04/24 13:40:46:924',3,-16,-10,-9,-0.76,-0.48,-0.43,-73,74,10465.136719,?,?,?,?,?,?
2057,'2024/04/24 13:40:46:939',3,-16,-10,-9,-0.76,-0.48,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2058,'2024/04/24 13:40:46:945',3,-16,-10,-9,-0.76,-0.48,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2059,'2024/04/24 13:40:46:947',3,-16,-10,-9,-0.76,-0.48,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2060,'2024/04/24 13:40:46:969',3,-16,-10,-9,-0.76,-0.48,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2061,'2024/04/24 13:40:46:971',3,-16,-10,-9,-0.76,-0.48,-0.43,-61,74,10465.136719,?,?,?,?,?,?
2062,'2024/04/24 13:40:46:979',3,-16,-10,-9,-0.76,-0.48,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2063,'2024/04/24 13:40:46:992',3,-16,-10,-9,-0.76,-0.48,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2064,'2024/04/24 13:40:46:995',3,-16,-10,-9,-0.76,-0.48,-0.43,-71,74,10465.136719,?,?,?,?,?,?
2065,'2024/04/24 13:40:46:999',3,-16,-10,-9,-0.76,-0.48,-0.43,-65,74,10465.136719,?,?,?,?,?,?
2066,'2024/04/24 13:40:47:015',3,-16,-10,-9,-0.76,-0.48,-0.43,-65,74,10465.136719,?,?,?,?,?,?
2067,'2024/04/24 13:40:47:017',3,-16,-10,-9,-0.76,-0.48,-0.43,-65,74,10465.136719,?,?,?,?,?,?
2068,'2024/04/24 13:40:47:038',3,-16,-10,-9,-0.76,-0.48,-0.43,-65,74,10465.136719,?,?,?,?,?,?
2069,'2024/04/24 13:40:47:039',3,-16,-10,-9,-0.76,-0.48,-0.43,-62,74,10465.136719,?,?,?,?,?,?
2070,'2024/04/24 13:40:47:040',3,-16,-10,-9,-0.76,-0.48,-0.43,-62,74,10465.136719,?,?,?,?,?,?
2071,'2024/04/24 13:40:47:059',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2072,'2024/04/24 13:40:47:061',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2073,'2024/04/24 13:40:47:063',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
